अनाज की लिस्ट(Corn list)		
		
चावल मील 	Chaval Meal	Rice Meals
पूजा तेल 	Pooja Tail	Pooja Oil
		
डेयरी उत्पाद(Dairy Product)		
 		
दूध 	Doodh	Milk
पनीर 	Panir	Cheese 
छाछ 	Chhcahh	Butter Milk
दही 	Dahi	Curd
घी 	Ghee	Ghee
मक्खन 	Makhan	Butter
क्रीम 	Cream	Cream
दूध आइसक्रीम 	Doodh Icecream	Milk Ice Cream 
दूध पाउडर 	Doodh Powder	Milk Powder
		
बैंकिंग पाउडर(Banking Powder) 		
		
बैंकिंग सोडा 	Banking Soda	Banking Soda 
बंकींग पाउडर 	Banking Powder	Banking Powder
फ़ूड कलर 	Food Colour	Food Coloue
फ़ूड टेस्ट पाउडर 	Food Taste Powder	Food Taste
नारियल पाउडर 	Nariyal Powder	Coco Powder
